Blog	four	looking	second	available	here	music	until	example	want	feature	how	series	re	wasn	service	needed	project	person	saying	best	never	asked	much	life	worked	things	had	easy	possible	right	old	people	support	happy	full	inside	time	minute	team	along	love	working	following	most	such	data	so	years	course	didn	internet	million	quite	wrong	open	city	future	san	turned	note	take	ways	going	where	many	wants	bernardino	photos	former	single	technology	being	around	traffic	world	power	industry	favorite	image	her	am	having	original	tv	th	case	large	small	past	hours	social	via	company	learn	sense	huge	its	always	found	really	research	also	play	sometimes	set	see	last	whole	community	recent	amp	couple	d	continue	anything	into	line	posted	up	us	ago	results	send	try	video	let	great	makes	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	bring	should	hope	stuff	email	ve	site	less	web	five	become	does	chance	worth	above	told	thursday	word	work	interview	after	order	office	production	then	them	network	another	do	away	terms	com	launched	photo	thanks	night	security	post	months	way	war	update	together	global	gun	guy	change	usually	live	car	december	heard	means	write	product	use	still	non	half	now	year	space	shows	care	couldn	size	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	building	since	month	very	learned	family	ask	takes	taken	history	help	soon	actually	ceo	android	beyond	event	issue	reason	put	american	behind	off	mobile	clear	latest	pretty	during	x	close	won	probably	both	whatever	else	look	while	used	user	game	some	step	visit	within	similar	e	go	facebook	click	camera	started	meet	control	links	software	including	front	keep	grow	exactly	need	able	she	problem	computer	state	key	well	page	twitter	home	he	stories	piece	star	friends	companies	likely	even	tips	ever	met	call	tell	room	give	answer	president	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	hit	said	were	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	dead	track	popular	super	down	pages	daily	finally	did	run	wait	making	may	man	maybe	talk	nbsp	group	interesting	rock	language	thing	think	first	long	little	anyone	paid	especially	shot	show	black	get	morning	enough	reading	across	according	mark	doesn	those	pay	same	running	money	either	trying	videos	general	again	students	important	u	public	search	two	share	needs	different	coming	through	someone	everyone	house	energy	hard	idea	done	least	part	believe	b	build	tool	services	fine	find	please	point	simple	simply	create	understand	bill	fun	itself	yesterday	spent	source	big	bit	google	often	back	entire	giving	others	later	themselves	watch	ll	day	text	taking	holiday	value	almost	center	thought	add	works	buy	minutes	special	starting	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	amazon	report	however	news	been	several	specific	everything	head	hear	check	no	focus	level	says	goes	iphone	today	thousands	information	happened	name	turn	place	given	any	ideas	sure	multiple	net	written	come	myself	good	week	without	when	seems	blog	there	follow	program	far	list	design	version	known	rather	short	might	wouldn	number	feel	story	store	kind	nothing	his	him	wrote	art	recently	attention	due	questions	customers	question	fast	called	nice	users	once	issues	apple	app	few	women	something	six	instead	choose	our	york	their	which	who	why	local	view	walk	perhaps	gets	other	know	because	lead	getting	own	apps	made	whether	book
WIL WHEATON dot NET	0	4	1	2	7	0	3	0	15	0	10	2	12	6	0	2	2	0	2	10	2	4	14	11	3	16	18	2	2	12	2	19	0	3	1	2	33	2	0	1	6	6	0	4	0	0	33	2	2	7	2	1	0	0	2	0	1	0	2	0	7	2	17	6	2	1	0	0	0	0	0	13	5	0	3	0	0	4	0	5	3	4	3	4	1	1	1	0	0	3	0	0	2	0	2	0	1	4	1	20	0	15	5	0	11	4	10	5	1	0	0	5	10	0	4	15	1	2	26	4	5	0	0	0	1	1	6	6	8	1	2	0	1	16	11	3	0	11	0	7	2	3	7	9	0	37	4	4	0	7	0	3	1	5	2	3	3	1	16	1	11	0	0	0	3	16	0	9	34	3	0	0	0	0	0	6	0	9	2	14	1	0	4	0	0	2	0	2	2	0	0	2	5	6	0	1	13	1	3	9	0	1	2	2	4	2	14	1	0	7	2	0	1	2	0	2	5	6	2	0	0	2	12	0	8	1	13	0	1	0	3	2	0	2	1	1	0	0	0	0	0	1	3	1	1	9	0	0	0	8	2	0	2	0	7	4	3	1	2	9	0	0	0	23	0	0	1	2	2	12	0	0	1	4	3	2	0	0	1	0	7	0	2	9	12	2	0	0	0	0	3	0	2	3	2	1	0	3	1	0	0	14	0	5	3	5	2	2	8	0	0	2	0	10	2	4	0	1	9	1	1	1	0	23	83	0	2	2	1	4	11	0	0	3	0	9	29	12	1	0	2	0	0	2	0	2	0	0	8	0	0	0	10	14	1	6	2	0	9	2	1	0	1	0	0	17	13	10	4	11	2	2	0	1	3	1	26	3	2	6	1	0	0	5	5	5	1	5	1	1	0	0	0	2	0	1	0	2	0	6	3	0	4	0	3	3	4	1	1	7	4	3	5	13	4	5	0	0	0	0	3	0	4	1	0	2	2	0	8	1	2	2	0	10	6	0	0	6	4	6	0	3	0	6	11	24	0	1	0	1	4	0	7	1	4	0	7	0	1	0	11	0	0	10	0	1	61	4	6	16	10	2	0	7	2	3	8	1	1	7	1	16	0	1	0	1	29	2	1	12	6	2	3	4	2	0	3	0	0	8	1	0	2	0	0	1	0	3	1	4	0	1	2	0	36	21	10	5	32	2	1	12	0	1	1	0	0	0	0	0	1	0	1	1	19	6	1	8	5	2	5	6	2	2	1	2	0	0	0	0	1	1	0	5	1	0	0	6	0	21	2	1	0	8	0	5	15	17	3	0	1	4	0	1	7	13	41	0	4	6	0	9	1	0
Online Marketing Report	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
Creating Passionate Users	0	0	0	0	1	0	0	1	1	2	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	4	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	3	2	0	0	0	0	2	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	5	0	1	0	5	1	0	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
Bloggers Blog	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	3	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Joho the Blog	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	4	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0
Scobleizer	1	2	0	0	12	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	2	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	0	1	0	1	1	4	0	0	5	0	0	0	4	0	1	2	1	0	0	0	1	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	1	1	1	0	0	0	3	1	0	0	0	0	0	2	16	0	2	6	1	3	1	1	0	0	0	1	0	2	0	6	0	0	0	0	0	2	0	0	1	0	0	3	1	0	0	2	5	0	0	3	1	0	1	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	3	0	3	0	1	2	0	1	19	0	1	0	0	1	0	0	3	4	0	0	0	0	0	0	0	1	3	1	0	0	6	1	0	1	0	0	0	2	0	0	0	0	0	3	2	3	0	1	0	1	2	0	1	4	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	4	0	0	0	3	0	0	1	0	0	0	0	4	0	0	0	1	0	1	6	0	0	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	2	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	1	1	1	0	0	0	2	2	0	0	0	0	0	1	0	15	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	2	16	1	0	0	0	1	0	0	0	3	0	0	15	0	0	0	1	0	1	1	0	4	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	22	0	4	0	1	1	0	0	1	3	1	0	1	0	0	0	1	2	1	1	0	0	1	0	0	2	0	0	0	0	0	4	0	0	8	0	1	0	5	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	1	0	1	0	2	2	0	0	3	0	0	0	1	0	0	6	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	4	3	0	0	2	0	0	0	8	0	0	6	2	5	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0
Derek Powazek	0	1	0	1	6	0	0	0	1	0	7	0	7	1	0	0	0	0	0	1	3	0	1	5	1	1	3	2	1	4	2	2	0	4	1	0	4	0	0	1	1	0	1	2	0	0	7	5	1	1	1	0	0	1	1	0	0	2	2	0	1	1	4	0	1	0	0	2	0	1	0	0	1	0	3	0	0	0	0	9	3	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	4	1	2	0	2	0	0	0	3	7	0	3	0	0	4	2	4	1	4	0	1	11	4	2	0	0	1	0	1	5	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	2	1	0	11	2	1	1	0	0	0	1	0	0	0	0	3	3	0	4	0	0	0	7	2	1	3	7	1	0	1	0	0	0	2	0	3	2	0	0	1	1	0	2	1	1	0	2	1	0	0	0	3	1	0	4	0	0	10	4	0	0	0	0	0	2	2	0	1	4	0	1	2	2	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	8	0	1	0	0	1	0	1	0	0	0	0	1	0	1	2	0	1	0	1	1	0	0	3	0	1	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	1	1	1	7	0	0	0	1	2	1	1	0	5	1	0	0	2	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	2	3	0	1	0	1	0	0	1	4	12	0	3	1	1	3	2	1	0	4	0	3	9	1	1	0	1	1	0	1	2	0	0	0	2	0	0	0	4	0	0	0	0	1	1	3	0	0	0	0	0	4	4	3	1	7	0	1	2	1	3	1	6	2	5	4	0	0	0	0	1	0	3	0	3	0	0	0	0	2	0	0	0	0	0	9	1	0	0	1	1	0	1	0	0	3	0	1	0	2	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	2	0	3	0	1	0	0	2	2	0	0	0	1	0	1	4	2	0	1	0	0	1	0	1	0	0	1	1	2	0	1	3	0	0	0	0	1	15	1	0	5	2	1	0	1	0	0	4	1	2	2	3	0	0	0	0	1	8	0	0	2	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	3	0	11	0	1	7	1	0	0	0	1	0	0	0	1	1	0	1	5	3	0	1	0	3	2	1	0	0	0	0	1	0	0	1	0	2	0	2	2	0	0	5	0	8	2	0	0	3	0	4	2	1	1	0	0	1	0	2	3	6	3	0	2	2	0	2	0	6
Jeremy Zawodny's blog	1	2	3	2	6	0	4	0	3	0	8	1	5	2	2	2	0	2	0	2	3	4	4	1	3	5	17	0	2	5	0	6	0	2	3	1	23	2	3	5	0	4	1	8	3	4	23	8	3	11	2	0	1	5	0	0	2	3	0	4	3	0	8	8	3	2	0	5	1	1	0	4	3	0	1	0	1	2	0	1	4	5	1	0	0	1	2	5	0	0	1	1	2	0	0	0	0	1	1	12	0	7	0	0	4	10	2	1	0	2	0	2	13	0	2	9	14	0	24	28	6	1	1	4	0	0	2	4	5	0	6	0	1	2	13	1	1	1	1	3	1	6	0	2	3	7	1	1	0	0	0	3	2	0	3	2	0	0	6	0	11	0	1	3	16	7	4	4	6	4	0	0	0	0	2	2	0	2	0	13	0	0	2	0	0	0	1	1	0	0	0	0	1	2	1	10	4	2	0	5	2	0	0	0	1	1	4	0	0	7	2	0	0	1	1	1	1	3	0	4	4	0	7	0	7	0	16	2	0	1	0	3	0	5	1	1	0	0	1	0	2	1	2	0	4	5	0	3	0	1	2	3	0	0	6	4	0	1	0	6	1	0	0	22	1	2	0	0	0	9	0	0	1	1	1	2	0	0	0	1	2	2	2	5	0	2	2	1	0	0	7	0	1	1	9	1	0	0	0	0	2	4	0	3	2	1	0	0	3	0	0	12	0	2	2	6	1	1	0	0	1	0	2	1	6	1	0	6	0	2	24	1	3	1	0	6	18	4	4	0	0	2	0	0	0	0	0	0	25	0	0	1	7	1	3	1	5	0	3	3	0	4	3	2	0	3	3	13	10	2	2	0	2	0	0	0	16	0	2	4	8	0	0	1	2	0	3	1	0	3	3	2	0	0	0	4	0	2	1	6	0	0	1	3	2	0	4	0	0	5	2	0	0	0	0	1	1	0	0	1	2	3	4	0	2	0	1	0	3	1	2	1	0	0	11	0	2	16	3	0	3	2	0	1	8	8	0	1	0	7	0	0	0	0	0	3	4	0	0	0	1	0	3	8	0	3	17	3	5	9	0	5	0	8	1	0	0	1	4	5	6	1	0	0	3	0	6	3	2	2	1	1	2	5	0	0	0	0	0	3	0	1	2	3	4	1	0	2	0	3	0	2	1	1	3	6	4	1	16	3	3	19	1	0	2	1	0	0	1	1	3	2	1	2	1	0	0	0	0	10	4	1	0	2	0	1	1	2	0	3	2	3	2	1	0	0	0	13	0	7	0	3	0	22	0	13	9	5	5	1	1	1	0	1	8	5	6	4	6	0	0	7	0	1
@ProBlogger	1	0	0	0	7	0	0	0	4	0	21	2	5	0	0	0	0	0	0	0	0	1	0	6	0	2	1	1	1	1	1	1	0	0	1	0	3	0	0	0	1	2	1	2	1	0	3	2	1	0	0	1	0	0	0	0	1	0	3	0	0	10	2	1	1	2	0	0	0	1	0	1	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	3	0	0	1	1	0	2	0	0	0	2	5	0	1	0	0	4	0	0	0	7	0	0	1	1	1	0	0	0	0	0	2	0	4	0	0	0	1	1	1	2	1	0	0	0	0	0	2	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	3	0	1	3	1	0	0	0	0	0	2	0	23	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	1	2	2	0	0	0	0	0	2	0	1	2	0	0	1	0	4	6	0	1	0	0	3	0	2	7	0	0	1	5	1	6	0	0	0	12	1	0	0	0	0	3	0	0	1	1	1	2	0	0	0	1	1	0	1	0	1	2	1	1	0	2	0	0	0	3	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	5	0	1	0	3	0	0	0	0	0	0	1	5	1	1	1	0	1	2	0	2	23	2	0	0	0	0	0	1	0	2	2	5	0	0	0	10	0	0	1	0	0	0	1	0	2	1	0	0	2	0	20	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	1	0	0	0	0	0	3	0	0	1	0	0	0	1	24	2	1	0	0	0	0	0	0	3	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	15	1	1	0	1	9	2	1	0	1	0	0	1	1	2	0	0	3	0	0	0	15	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	2	2	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	1	2	0	0	1	0	1	2	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0	8	0	0	0	0	3	1	0	1	1	0	0	0	0	1	0	2	1	3	3	1	65	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	3	1	10	3	6	0	0	0	1	0	0	5	1	0	1	2	0	0	0	0	0
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	2	0	0	2	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	6	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
